name,x,y,z,r,p,y
100_rot0,-1.346621472328864,-353.9709690867313,1001.0848786742068,-179.56695367158952,-1.4788707848906637,-0.5687421479670954
100_rot15,4.63998594109044,-353.3755358053164,1001.512310580892,-178.25426090250556,-10.639545521727852,-0.3499456547723402
100_rot30,9.880360673785946,-355.19589994476644,1005.5871334557222,-178.39393391097235,-27.86681652942008,-1.025219881918892
100_rot45,18.3459995043907,-357.258237663237,1014.9382114936714,-177.0822139056868,-42.27932621249309,-1.9859180755234076
100_rot60,23.384092771661454,-357.688339605766,1023.4949013803322,-175.9543029735713,-57.78950469271345,-3.3278704066268148
500_rot0,70.93970267990659,-418.7985120861854,5326.854216276069,178.37309503815666,0.018595143798789918,-0.010348278590394317
500_rot15,83.86469602951877,-419.33903544014674,5334.340981722068,175.6598552242161,-18.05761497791799,-0.05932082112174904
500_rot30,94.72930208044446,-428.13558439722635,5472.940117471108,178.779268999128,-30.195017727588112,-0.01066799691403202
500_rot45,101.10232116836214,-427.6799085583705,5466.989764244195,-178.8246485571268,-43.47391214275829,-2.243252681304385
